TargetName,JJ93.|.001.|.tumor,JJ93.|.001.|.CD45,JJ93.|.002.|.Ki67+.tumor,JJ93.|.002.|.tumor,JJ93.|.002.|.CD45,JJ93.|.003.|.Ki67+.tumor,JJ93.|.003.|.tumor,JJ93.|.003.|.CD45,JJ93.|.004.|.tumor,JJ93.|.004.|.CD45,JJ93.|.005.|.tumor,JJ93.|.005.|.CD45,JJ98.|.001.|.Ki67+.tumor,JJ98.|.001.|.tumor,JJ98.|.001.|.CD45,JJ98.|.002.|.Ki67+.tumor,JJ98.|.002.|.tumor,JJ98.|.002.|.CD45,JJ98.|.003.|.Ki67+.tumor,JJ98.|.003.|.tumor,JJ98.|.003.|.CD45,JJ98.|.004.|.tumor,JJ98.|.005.|.tumor,JJ98.|.006.|.tumor
KLHL33,29,1,1,12,1,2,4,2,8,2,7,1,6,7,8,1,19,5,3,8,23,12,10,2
KLHL34,18,1,1,9,3,1,6,1,8,5,8,1,4,3,10,1,13,6,1,12,23,10,7,4
KLHL35,23,5,1,8,4,2,6,1,8,1,15,1,5,5,16,3,17,3,3,9,22,5,11,6
KLHL36,25,5,2,18,3,4,17,2,15,1,10,3,5,5,22,2,26,7,6,21,30,8,10,1
KLHL38,24,7,3,11,3,1,4,1,11,2,7,1,6,6,12,1,11,2,1,14,17,7,7,1
KLHL4,24,7,1,9,1,3,9,1,10,5,9,1,8,10,16,4,18,6,5,18,28,8,7,3
KLHL40,18,6,2,14,1,2,3,1,9,4,8,1,9,9,11,1,16,10,3,8,24,8,6,1
KLHL41,20,5,3,5,2,2,9,3,10,6,14,3,5,8,7,3,23,3,1,11,19,5,5,1
KLHL42,35,5,7,16,3,1,6,3,21,3,20,5,16,8,24,1,27,6,6,19,22,13,15,4
KLHL5,45,8,6,23,6,2,16,1,13,12,22,2,23,25,43,6,38,15,7,38,48,7,6,3
KLHL6,27,7,6,12,3,4,5,3,7,3,14,1,3,12,19,5,13,7,4,10,28,8,11,2
KLHL7,46,12,4,15,6,1,17,2,16,7,20,2,20,27,23,2,31,5,9,41,34,4,6,2
KLHL8,29,6,2,21,3,6,13,1,14,5,18,1,8,15,18,3,22,6,4,15,40,3,3,2
KLHL9,65,10,10,33,6,8,21,6,35,9,30,3,20,24,35,3,60,12,7,24,60,4,6,2
KLK1,10,5,1,7,2,3,2,1,3,2,4,1,4,5,7,1,3,5,1,8,17,3,4,2
KLK10,13,3,1,6,1,1,3,2,11,3,9,2,6,9,11,4,15,2,4,16,25,5,8,3
KLK11,12,4,3,10,4,1,4,1,10,2,16,2,6,9,8,4,16,6,1,13,15,3,3,1
KLK12,33,8,2,8,2,2,6,2,9,2,7,1,5,11,15,3,11,9,3,15,19,4,4,2
KLK13,14,6,2,7,1,5,7,2,12,4,10,2,14,11,13,1,16,5,2,8,20,4,5,2
KLK14,16,3,2,11,1,3,3,1,8,5,12,1,3,14,16,6,25,3,5,13,14,19,14,2
KLK15,12,4,1,3,2,2,6,1,13,2,10,2,7,7,13,2,12,5,3,16,14,12,9,3
KLK2,29,1,5,12,4,4,16,5,15,4,17,3,10,12,15,4,33,9,7,28,39,23,12,4
KLK3,16,4,2,7,2,3,5,5,10,5,11,4,6,5,11,1,11,6,2,16,17,7,2,2
KLK4,22,5,2,9,2,1,5,3,10,3,10,1,6,11,11,4,17,3,1,15,21,15,4,2
KLK5,16,3,1,9,1,2,7,1,6,3,10,1,3,5,11,6,14,3,8,7,26,9,4,2
KLK6,15,2,2,7,1,3,5,1,19,4,6,1,17,11,14,1,10,4,3,13,16,6,8,2
KLK7,21,2,1,6,2,2,11,1,9,1,12,1,9,14,16,1,19,6,2,14,15,2,7,3
KLK8,17,3,1,6,1,1,8,1,3,4,6,1,6,6,11,1,15,4,3,16,17,5,7,1
KLK9,23,5,2,6,4,4,5,2,12,5,6,1,6,6,14,1,16,3,3,8,21,15,6,4
KLKB1,13,6,2,11,4,2,5,1,6,6,9,1,6,4,8,3,13,4,1,16,17,4,3,1
KLLN,22,6,3,14,3,4,9,1,13,2,6,2,8,10,16,1,14,6,2,6,24,9,5,2
KLRB1,23,3,3,12,1,4,6,1,9,2,3,1,3,4,22,2,16,6,2,6,21,6,4,1
KLRC2,207,11,26,126,8,18,83,14,106,10,93,3,27,36,39,5,64,11,17,37,47,28,12,8
KLRC3,159,6,15,94,6,22,55,5,83,10,68,1,16,28,23,3,23,2,5,26,31,6,3,2
KLRC4,222,7,19,101,23,28,77,5,116,13,94,4,14,21,37,2,28,8,6,37,32,11,5,3
KLRD1,9,2,2,4,2,2,7,1,6,3,7,1,4,1,7,2,4,3,1,6,11,1,2,1
KLRF1,31,5,5,11,1,3,5,1,12,6,21,1,6,3,19,3,19,8,2,8,20,5,8,2
KLRF2,12,5,2,8,2,2,10,1,8,1,9,3,4,1,17,2,7,3,3,11,14,5,3,1
KLRG1,33,6,7,18,3,2,17,3,20,4,25,2,14,18,16,3,27,5,3,19,24,4,5,1
KLRG2,20,3,4,15,6,4,9,1,10,4,14,2,9,14,14,2,19,3,4,14,17,26,8,2
KLRK1,94,5,9,50,9,10,28,5,45,8,42,2,7,11,26,1,20,3,3,18,21,2,5,2
KMO,10,3,2,11,4,1,5,1,10,2,7,1,3,1,11,1,16,5,2,8,16,4,11,2
KMT2A,54,6,6,27,2,9,15,3,31,9,35,1,19,10,16,5,30,8,5,24,19,6,3,1
KMT2B,48,5,7,29,6,6,10,3,28,6,21,1,23,34,33,3,36,11,4,29,33,16,7,2
KMT2C,76,7,4,32,9,10,18,3,41,8,37,5,30,34,47,10,84,12,9,62,71,1,2,3
KMT2D,49,3,4,27,6,8,18,3,21,7,23,1,35,31,30,4,42,9,5,25,44,5,8,1
KMT2E,89,3,13,46,6,4,25,6,31,9,40,3,16,40,31,11,68,13,10,46,59,12,7,1
KMT5A,36,3,3,16,2,6,14,1,19,4,19,1,25,25,19,7,31,11,10,25,31,7,3,1
KMT5B,61,4,5,30,8,8,24,2,41,13,40,5,21,12,37,2,39,15,5,32,50,7,2,2
KMT5C,27,2,1,17,2,3,7,3,6,3,7,1,12,15,19,2,25,6,3,19,26,11,14,2
KNCN,16,6,1,11,2,4,4,1,11,3,10,1,8,8,10,1,24,9,3,16,20,9,10,2
KNDC1,38,9,3,18,1,6,15,1,12,8,17,4,6,4,22,2,27,7,2,11,23,11,5,13
KNG1,22,3,7,14,1,5,5,1,7,1,14,1,11,10,9,1,7,5,4,5,20,3,5,1
KNL1,41,4,7,11,2,10,9,1,14,3,11,5,23,10,16,6,22,7,8,10,21,10,1,2
KNOP1,25,2,3,16,1,5,9,3,18,3,14,1,15,14,14,4,30,6,6,32,24,10,5,1
KNSTRN,29,4,6,20,6,7,9,2,19,6,22,1,27,17,28,5,12,8,12,21,36,4,11,1
KNTC1,43,6,6,12,2,7,6,3,13,7,16,3,40,31,52,9,52,14,9,40,43,7,4,3
KPNA1,28,4,12,8,4,4,11,3,21,10,23,1,23,15,27,7,23,9,6,25,42,5,1,1
KPNA2,54,6,9,21,2,16,12,2,17,7,20,4,89,31,43,30,42,10,23,34,47,11,8,4
KPNA3,48,13,5,34,7,9,15,10,24,5,17,3,11,11,40,4,37,10,4,35,42,18,18,2
KPNA4,27,7,2,7,1,2,8,2,9,2,10,1,4,11,13,1,18,7,2,14,24,1,5,3
KPNA5,46,4,8,25,2,6,20,2,23,7,23,4,13,17,18,4,44,7,4,28,28,8,6,1
KPNA6,43,7,4,17,4,5,19,6,15,4,18,2,13,21,42,3,40,12,10,19,46,4,6,3
KPNA7,23,4,2,5,1,1,8,1,9,2,9,1,2,3,8,2,14,3,2,7,17,7,5,1
KPNB1,127,15,12,57,6,19,27,13,60,24,43,4,47,50,79,21,120,38,22,86,113,22,5,1
KPRP,16,2,1,9,3,1,9,1,7,3,15,1,6,6,12,2,21,2,3,9,11,10,3,1
KPTN,24,5,4,10,2,5,11,1,11,5,15,1,5,12,14,3,19,3,3,32,26,11,3,1
KRAS,144,5,11,69,7,16,34,5,80,21,54,1,42,41,58,8,90,15,13,96,79,9,11,2
KRBA1,36,6,5,9,2,4,15,1,11,5,14,1,10,11,26,4,55,13,6,19,35,16,15,2
KRBA2,39,2,7,19,3,2,8,2,14,3,14,4,15,10,13,4,31,8,2,31,30,7,3,1
KRBOX1,15,5,4,7,3,1,6,2,9,3,8,1,34,4,13,1,13,7,3,13,23,8,3,1
